"class_code"	"definition"	"description"	
"Lunar (basalt)"	"'A lunar meteorite that is primarily basaltic.'"	"lunar meteorite: Lunar meteorites are lunar rocks that were ejected from the Moon by impacts and later fell to the Earth as meteorites.  .<br><br>"	
"L3-melt breccia"	"'An ordinary chondrite from the L group that is petrologic type 3 and is a breccia with melted material forming the matrix.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"EH6"	"'An enstatite chondrite of the EH group that is petrologic type 6.'"	"enstatite chondrite: A major class of chondrites that mostly have sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot near the terrestrial fractionation line, and highly reduced mineral assemblages (containing little FeO, Si-bearing metal, and sulfides of elements normally considered lithophile).<br><br>EH group: The high-iron (EH) chemical group of enstatite chondrites, distinguished by small chondrules (0.2 mm), abundant metal (~10 vol%) that is rich in Si (~3 wt%), and an extremely reduced mineral assemblage including niningerite (MgS) and perryite (Fe-Ni silicide).<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>EH group: The high-iron (EH) chemical group of enstatite chondrites, distinguished by small chondrules (0.2 mm), abundant metal (~10 vol%) that is rich in Si (~3 wt%), and an extremely reduced mineral assemblage including niningerite (MgS) and perryite (Fe-Ni silicide).<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"CO3.8"	"'A carbonaceous chondrite of the CO group that is petrologic type 3.'"	"carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>CO group: The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (<0.2 mm) occupying about half the volume of the rock, and generally showing a low degree of aqueous alteration.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>CO group: The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (<0.2 mm) occupying about half the volume of the rock, and generally showing a low degree of aqueous alteration.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"Iron, IID"	"'An iron meteorite belonging to chemical group IID.'"	"iron meteorite: A meteorite that is dominantly composed of Fe-Ni metal and that crystallized from a melt.<br><br>"	
"L5"	"'An ordinary chondrite from the L group that is petrologic type 5.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>"	
"Lunar (norite)"	"'A lunar meteorite that is primarily noritic.'"	"lunar meteorite: Lunar meteorites are lunar rocks that were ejected from the Moon by impacts and later fell to the Earth as meteorites.  .<br><br>"	
"L~6"	"'An ordinary chondrite from the L group that is approximately petrologic type 6.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"CK4"	"'A carbonaceous chondrite of the CK group of petrologic type 4.'"	"carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>CK group: The Karoonda (CK) chemical group of carbonaceous chondrites, distinguished by abundant fine-grained matrix (~75 vol%), mm-sized chondrules that lack igneous rims,  relatively few refractory inclusions, and a high degree of oxidation; most CK chondrites have been metamorphosed to type 4 or higher.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>CK group: The Karoonda (CK) chemical group of carbonaceous chondrites, distinguished by abundant fine-grained matrix (~75 vol%), mm-sized chondrules that lack igneous rims,  relatively few refractory inclusions, and a high degree of oxidation; most CK chondrites have been metamorphosed to type 4 or higher.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>"	
"LL3"	"'An ordinary chondrite from the LL group that is petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
